Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Status
under-sink-organizer-2-tier-pull-out-cabinet-organ,Under Sink Organizer 2 Tier Pull Out Cabinet Organizer,Maximize your under-sink storage with this 2-tier pull-out organizer. Perfect for kitchen and bathroom cabinets. Features smooth glide-out drawers and durable construction.,CoaiHome,Home Organization,"organizer, home, storage",TRUE,Title,Default Title,COAI-001,500,shopify,100,deny,manual,34.99,48.99,TRUE,TRUE,,active
refrigerator-organizer-bins-stackable-storage-cont,Refrigerator Organizer Bins Stackable Storage Containers,"Keep your fridge neat and organized with these stackable clear bins. Perfect for fruits, vegetables, drinks, and condiments. BPA-free and dishwasher safe.",CoaiHome,Home Organization,"organizer, home, storage",TRUE,Title,Default Title,COAI-002,500,shopify,100,deny,manual,24.99,34.99,TRUE,TRUE,,active
drawer-organizer-adjustable-expandable-utensil-tra,Drawer Organizer Adjustable Expandable Utensil Tray,"Customizable drawer organizer that expands to fit any drawer size. Perfect for kitchen utensils, silverware, gadgets, and office supplies.",CoaiHome,Home Organization,"organizer, home, storage",TRUE,Title,Default Title,COAI-003,500,shopify,100,deny,manual,22.99,32.19,TRUE,TRUE,,active
pantry-organization-and-storage-bins-set-of-6,Pantry Organization and Storage Bins Set of 6,"Complete pantry organization set with 6 versatile bins in various sizes. Clear design lets you see contents at a glance. Perfect for snacks, cans, and dry goods.",CoaiHome,Home Organization,"organizer, home, storage",TRUE,Title,Default Title,COAI-004,500,shopify,100,deny,manual,39.99,55.99,TRUE,TRUE,,active
cabinet-pan-organizer-rack-5-tier,Cabinet Pan Organizer Rack 5 Tier,"Vertical pan organizer holds up to 5 pans, cutting boards, or lids. Saves cabinet space and keeps cookware easily accessible.",CoaiHome,Home Organization,"organizer, home, storage",TRUE,Title,Default Title,COAI-005,500,shopify,100,deny,manual,29.99,41.99,TRUE,TRUE,,active
spice-rack-organizer-for-cabinet-or-countertop,Spice Rack Organizer for Cabinet or Countertop,"3-tier spice rack holds 24+ spice jars. Can be used in cabinet, on countertop, or wall-mounted. Keeps spices organized and easily accessible.",CoaiHome,Home Organization,"organizer, home, storage",TRUE,Title,Default Title,COAI-006,500,shopify,100,deny,manual,26.99,37.79,TRUE,TRUE,,active
bathroom-organizer-countertop-storage-caddy,Bathroom Organizer Countertop Storage Caddy,"Stylish countertop organizer for toiletries, makeup, and skincare products. Multiple compartments keep essentials organized and within reach.",CoaiHome,Home Organization,"organizer, home, storage",TRUE,Title,Default Title,COAI-007,500,shopify,100,deny,manual,23.99,33.59,TRUE,TRUE,,active
shower-caddy-organizer-hanging-bathroom-storage,Shower Caddy Organizer Hanging Bathroom Storage,"Rust-resistant shower caddy with multiple baskets for shampoo, conditioner, and soap. Hooks for razors and loofahs. Easy to install.",CoaiHome,Home Organization,"organizer, home, storage",TRUE,Title,Default Title,COAI-008,500,shopify,100,deny,manual,27.99,39.19,TRUE,TRUE,,active
closet-organizer-storage-bins-foldable-fabric-bask,Closet Organizer Storage Bins Foldable Fabric Baskets,"Set of 6 foldable fabric storage bins for closet organization. Perfect for clothes, accessories, and linens. Collapsible when not in use.",CoaiHome,Home Organization,"organizer, home, storage",TRUE,Title,Default Title,COAI-009,500,shopify,100,deny,manual,36.99,51.79,TRUE,TRUE,,active
shoe-organizer-for-closet-stackable-clear-boxes,Shoe Organizer for Closet Stackable Clear Boxes,Stackable clear shoe boxes protect and display your footwear. Drop-front opening for easy access. Fits up to size 13 shoes.,CoaiHome,Home Organization,"organizer, home, storage",TRUE,Title,Default Title,COAI-010,500,shopify,100,deny,manual,44.99,62.99,TRUE,TRUE,,active
jewelry-organizer-tray-stackable-velvet-drawers,Jewelry Organizer Tray Stackable Velvet Drawers,"Elegant velvet jewelry organizer with multiple compartments for rings, earrings, necklaces, and bracelets. Stackable design saves dresser space.",CoaiHome,Home Organization,"organizer, home, storage",TRUE,Title,Default Title,COAI-011,500,shopify,100,deny,manual,31.99,44.79,TRUE,TRUE,,active
cable-management-box-cord-organizer,Cable Management Box Cord Organizer,Hide unsightly cables and power strips in this stylish bamboo box. Keeps desks and entertainment centers tidy and safe from curious pets.,CoaiHome,Home Organization,"organizer, home, storage",TRUE,Title,Default Title,COAI-012,500,shopify,100,deny,manual,32.99,46.19,TRUE,TRUE,,active
desk-organizer-with-drawer-office-supplies-caddy,Desk Organizer with Drawer Office Supplies Caddy,"Multi-compartment desk organizer with drawer for pens, pencils, sticky notes, and office supplies. Keeps workspace clean and productive.",CoaiHome,Home Organization,"organizer, home, storage",TRUE,Title,Default Title,COAI-013,500,shopify,100,deny,manual,25.99,36.39,TRUE,TRUE,,active
laundry-hamper-with-lid-collapsible-clothes-basket,Laundry Hamper with Lid Collapsible Clothes Basket,Large capacity laundry hamper with lid to hide dirty clothes. Collapsible design for easy storage when not in use. Waterproof liner.,CoaiHome,Home Organization,"organizer, home, storage",TRUE,Title,Default Title,COAI-014,500,shopify,100,deny,manual,28.99,40.59,TRUE,TRUE,,active
toy-storage-organizer-with-bins-kids-playroom,Toy Storage Organizer with Bins Kids Playroom,Colorful toy organizer with 12 removable bins. Perfect for playrooms and kids bedrooms. Teaches children organization skills.,CoaiHome,Home Organization,"organizer, home, storage",TRUE,Title,Default Title,COAI-015,500,shopify,100,deny,manual,54.99,76.99,TRUE,TRUE,,active
