day,date,post_time,content_type,product,hook,script,cta,hashtags,caption,text_overlay,status
1,2026-02-28,12:00,product_demo,2 Pieces Foldable A-Frame Trellis Plant Supports with Twist Ties,TikTok made me buy it and I'm not mad: 2 Pieces Foldable,"[0-3s] TikTok made me buy it and I'm not mad: 2 Pieces Foldable
[3-8s] Show the product in use - highlight key feature
[8-15s] Show result/benefit
[15-20s] Show different use cases
[20-25s] Price reveal with shock face
[25-30s] CTA",Link in bio - only 67.11,#tiktokmademebuyit #amazonfinds #musthave,"Why didn't anyone tell me about 2 Pieces Foldable A-Frame Trellis Plant Supports with Twist Ties sooner?! 🤯

Link in bio + use code TIKTOK10",Wait for it...|This is genius|Only 67.11|Link in bio 🔗,scheduled
1,2026-02-28,19:00,product_demo,2 Pieces Foldable A-Frame Trellis Plant Supports with Twist Ties,This is your sign to get 2 Pieces Foldable,"[0-3s] This is your sign to get 2 Pieces Foldable
[3-8s] Show the product in use - highlight key feature
[8-15s] Show result/benefit
[15-20s] Show different use cases
[20-25s] Price reveal with shock face
[25-30s] CTA",Link in bio - only 67.11,#tiktokmademebuyit #amazonfinds #musthave,"Why didn't anyone tell me about 2 Pieces Foldable A-Frame Trellis Plant Supports with Twist Ties sooner?! 🤯

Link in bio + use code TIKTOK10",Wait for it...|This is genius|Only 67.11|Link in bio 🔗,scheduled
1,2026-02-28,12:00,product_demo,2 Pieces Foldable A-Frame Trellis Plant Supports with Twist Ties,This is the 2 Pieces Foldable your bedroom needs,"[0-3s] This is the 2 Pieces Foldable your bedroom needs
[3-8s] Show the product in use - highlight key feature
[8-15s] Show result/benefit
[15-20s] Show different use cases
[20-25s] Price reveal with shock face
[25-30s] CTA",Link in bio - only 67.11,#tiktokmademebuyit #amazonfinds #musthave,"Why didn't anyone tell me about 2 Pieces Foldable A-Frame Trellis Plant Supports with Twist Ties sooner?! 🤯

Link in bio + use code TIKTOK10",Wait for it...|This is genius|Only 67.11|Link in bio 🔗,scheduled
2,2026-03-01,8:00,before_after,"24 Oz Jumbo Coffee Mug Set of 4, Cute 24 Ounce Ceramic Mugcup Set in Gradient Blue Color, Best Coffee Mug for Birthday Gift, or DIY Decoration",The before and after will shock you 😱,"[0-3s] The before and after will shock you 😱
[3-5s] Show messy/problem state
[5-8s] Add 24 Oz Jumbo Coffee Mug Set of 4, Cute 24 Ounce Ceramic Mugcup Set in Gradient Blue Color, Best Coffee Mug for Birthday Gift, or DIY Decoration 
[8-12s] Quick transformation montage
[12-15s] Reveal organized/beautiful result
[15-20s] Your reaction + CTA",Get organized - link in bio!,#beforeandafter #transformation #organization #satisfying,"POV: You discovered the 24 Oz Jumbo Coffee Mug Set of 4, Cute 24 Ounce Ceramic Mugcup Set in Gradient Blue Color, Best Coffee Mug for Birthday Gift, or DIY Decoration ✨

Link in bio to transform your space!",Before 😫|After ✨|Game changer!,scheduled
2,2026-03-01,20:00,before_after,"24 Oz Jumbo Coffee Mug Set of 4, Cute 24 Ounce Ceramic Mugcup Set in Gradient Blue Color, Best Coffee Mug for Birthday Gift, or DIY Decoration",The before and after will shock you 😱,"[0-3s] The before and after will shock you 😱
[3-5s] Show messy/problem state
[5-8s] Add 24 Oz Jumbo Coffee Mug Set of 4, Cute 24 Ounce Ceramic Mugcup Set in Gradient Blue Color, Best Coffee Mug for Birthday Gift, or DIY Decoration 
[8-12s] Quick transformation montage
[12-15s] Reveal organized/beautiful result
[15-20s] Your reaction + CTA",Get organized - link in bio!,#beforeandafter #transformation #organization #satisfying,"POV: You discovered the 24 Oz Jumbo Coffee Mug Set of 4, Cute 24 Ounce Ceramic Mugcup Set in Gradient Blue Color, Best Coffee Mug for Birthday Gift, or DIY Decoration ✨

Link in bio to transform your space!",Before 😫|After ✨|Game changer!,scheduled
3,2026-03-02,13:00,transformation,3 Ft. X 5 Ft. U.S. Army Armed Forces Flag,"If you have a small apartment, you NEED this","[0-3s] If you have a small apartment, you NEED this
[3-8s] Show the product in use - highlight key feature
[8-15s] Show result/benefit
[15-20s] Show different use cases
[20-25s] Price reveal with shock face
[25-30s] CTA",Link in bio - only 56.04,#tiktokmademebuyit #amazonfinds #musthave,"Add to cart energy 🛒✨

3 Ft. X 5 Ft. U.S. Army Armed Forces Flag
Link in bio!",Wait for it...|This is genius|Only 56.04|Link in bio 🔗,scheduled
3,2026-03-02,21:00,transformation,3 Ft. X 5 Ft. U.S. Army Armed Forces Flag,Stop scrolling if you hate messy spaces,"[0-3s] Stop scrolling if you hate messy spaces
[3-8s] Show the product in use - highlight key feature
[8-15s] Show result/benefit
[15-20s] Show different use cases
[20-25s] Price reveal with shock face
[25-30s] CTA",Link in bio - only 56.04,#tiktokmademebuyit #amazonfinds #musthave,"The way this changed everything... ✨

3 Ft. X 5 Ft. U.S. Army Armed Forces Flag - link in bio!",Wait for it...|This is genius|Only 56.04|Link in bio 🔗,scheduled
4,2026-03-03,9:00,tips_educational,anti Fatigue Kitchen Mat Set of 2 Farmhouse Kitchen Rugs and Mats Non Slip Thick Cushioned Kitchen Floor Mats Waterproof Heavy Duty PVC Foam Kitchen Rug Runner Comfort Standing Mat Black,Things that just make sense: anti Fatigue Kitchen,"[0-3s] Things that just make sense: anti Fatigue Kitchen
[3-8s] Show the product in use - highlight key feature
[8-15s] Show result/benefit
[15-20s] Show different use cases
[20-25s] Price reveal with shock face
[25-30s] CTA",Link in bio - only 165.01,#tiktokmademebuyit #amazonfinds #musthave #kitchenhacks #kitchenorganization #cookinghacks,"Why didn't anyone tell me about anti Fatigue Kitchen Mat Set of 2 Farmhouse Kitchen Rugs and Mats Non Slip Thick Cushioned Kitchen Floor Mats Waterproof Heavy Duty PVC Foam Kitchen Rug Runner Comfort Standing Mat Black sooner?! 🤯

Link in bio + use code TIKTOK10",Wait for it...|This is genius|Only 165.01|Link in bio 🔗,scheduled
4,2026-03-03,15:00,tips_educational,anti Fatigue Kitchen Mat Set of 2 Farmhouse Kitchen Rugs and Mats Non Slip Thick Cushioned Kitchen Floor Mats Waterproof Heavy Duty PVC Foam Kitchen Rug Runner Comfort Standing Mat Black,"If you're still using regular organizers, stop ✋","[0-3s] If you're still using regular organizers, stop ✋
[3-8s] Show the product in use - highlight key feature
[8-15s] Show result/benefit
[15-20s] Show different use cases
[20-25s] Price reveal with shock face
[25-30s] CTA",Link in bio - only 165.01,#tiktokmademebuyit #amazonfinds #musthave #kitchenhacks #kitchenorganization #cookinghacks,"This anti Fatigue Kitchen Mat Set of 2 Farmhouse Kitchen Rugs and Mats Non Slip Thick Cushioned Kitchen Floor Mats Waterproof Heavy Duty PVC Foam Kitchen Rug Runner Comfort Standing Mat Black went viral for a reason 🔥

Get yours - link in bio!",Wait for it...|This is genius|Only 165.01|Link in bio 🔗,scheduled
4,2026-03-03,9:00,tips_educational,anti Fatigue Kitchen Mat Set of 2 Farmhouse Kitchen Rugs and Mats Non Slip Thick Cushioned Kitchen Floor Mats Waterproof Heavy Duty PVC Foam Kitchen Rug Runner Comfort Standing Mat Black,This anti Fatigue Kitchen saved my morning routine,"[0-3s] This anti Fatigue Kitchen saved my morning routine
[3-8s] Show the product in use - highlight key feature
[8-15s] Show result/benefit
[15-20s] Show different use cases
[20-25s] Price reveal with shock face
[25-30s] CTA",Link in bio - only 165.01,#tiktokmademebuyit #amazonfinds #musthave #kitchenhacks #kitchenorganization #cookinghacks,"The way this changed everything... ✨

anti Fatigue Kitchen Mat Set of 2 Farmhouse Kitchen Rugs and Mats Non Slip Thick Cushioned Kitchen Floor Mats Waterproof Heavy Duty PVC Foam Kitchen Rug Runner Comfort Standing Mat Black - link in bio!",Wait for it...|This is genius|Only 165.01|Link in bio 🔗,scheduled
